OBJECTID1,OBJECTID,CountyName,StateAbbr,SHAPE_Leng,USDA_Counties_code,join_OBJECTID,Field1,asd_code,asd_desc,county_code,county_name,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,MEAN_Nrate_lbperac,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha,Creator,Created,Editor,Edited,Shape__Area,Shape__Length
2265,72,Adair,IA,1.610861046,1,11,10,70,SOUTHWEST,1,ADAIR,18026,16033,94,21957,116500,115100,160.7,900,15.4,90900,91000,53.3,1/1/2007 0:00,58.5743442,65.66184,22.97266,167.7283,83.18291,4.08911,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2266,72,Adair,IA,1.610861046,1,12,11,70,SOUTHWEST,1,ADAIR,14420.8,20104.8,75.2,22011.2,104000,102000,169,,,105300,106000,45.5,1/1/2008 0:00,66.95054967,75.05157,20.85485,161.0625,74.45406,9.29798,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2267,72,Adair,IA,1.610861046,1,13,12,70,SOUTHWEST,1,ADAIR,10815.6,24176.6,56.4,22065.4,113500,112000,179.3,1450,19.5,93900,94500,51.5,1/1/2009 0:00,61.60574846,69.06004,19.19332,173.3205,81.7531,-3.31404,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2268,72,Adair,IA,1.610861046,1,14,13,70,SOUTHWEST,1,ADAIR,7210.4,28248.4,37.6,22119.6,105500,104500,139.1,,,101300,102000,48.7,1/1/2010 0:00,42.90510108,48.09662,17.37301,155.4855,81.01241,-9.00346,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2269,72,Adair,IA,1.610861046,1,15,14,70,SOUTHWEST,1,ADAIR,3605.2,32320.2,18.8,22173.8,112000,109300,152.8,,,101900,103500,50.3,1/1/2011 0:00,95.90719038,107.512,14.93082,163.0205,83.30685,42.72917,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2270,72,Adair,IA,1.610861046,1,16,15,70,SOUTHWEST,1,ADAIR,0,36392,0,22228,110000,104500,104.4,,,105200,105500,38.6,1/1/2012 0:00,94.26350336,105.6694,13.13356,121.8771,53.94812,50.87398,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2271,72,Adair,IA,1.610861046,1,17,16,70,SOUTHWEST,1,ADAIR,0,39636.6,0,23206.4,113000,109900,137.8,2000,13.5,103500,104000,36.8,1/1/2013 0:00,107.0941974,120.0526,13.80122,129.3789,48.14928,52.6242,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2272,72,Adair,IA,1.610861046,1,18,17,70,SOUTHWEST,1,ADAIR,0,42881.2,0,24184.8,109500,104300,169.3,,,102700,106000,50,1/1/2014 0:00,90.23391521,101.1522,14.66102,169.9481,84.52127,30.38639,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2273,72,Adair,IA,1.610861046,1,19,18,70,SOUTHWEST,1,ADAIR,0,46125.8,0,25163.2,112000,107400,176.5,,,106100,106500,55.1,1/1/2015 0:00,62.88696747,70.49629,15.21297,183.6128,97.19396,-0.70958,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2274,72,Adair,IA,1.610861046,1,20,19,70,SOUTHWEST,1,ADAIR,0,49370.4,0,26141.6,115000,113800,190.3,,,106700,107000,59.3,1/1/2016 0:00,66.60774564,74.66728,15.71449,196.2456,107.0556,1.19177,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2275,72,Adair,IA,1.610861046,1,21,20,70,SOUTHWEST,1,ADAIR,0,52615,0,27120,108500,104100,175.2,,,109900,110500,50.5,1/1/2017 0:00,67.69547957,75.88663,16.68128,174.7432,88.06531,5.89002,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2276,72,Adair,IA,1.610861046,1,22,21,70,SOUTHWEST,1,ADAIR,0,55859.6,0,28098.4,108500,103100,149.5,,,105700,106500,50.1,1/1/2018 0:00,61.62668591,69.08351,17.75714,163.8314,85.38526,8.39451,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2277,72,Adair,IA,1.610861046,1,23,22,70,SOUTHWEST,1,ADAIR,0,59104.2,0,29076.8,111500,107300,176.6,3940,25.5,100900,101500,53.3,1/1/2019 0:00,62.27953411,69.81536,18.69657,178.5845,90.38519,0.31262,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
323,81,Adams,IA,1.430679648,3,24,23,70,SOUTHWEST,3,ADAMS,17106,58642,177,0,57300,55700,119.9,1400,13.5,56400,57000,42.3,1/1/1997 0:00,50.82783982,56.97801,33.02626,135.7224,64.93013,19.212,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
324,81,Adams,IA,1.430679648,3,25,24,70,SOUTHWEST,3,ADAMS,13684.8,51964.8,141.6,3507.8,64500,62100,137.7,2400,16.5,56300,56500,43.7,1/1/1998 0:00,49.23555494,55.19306,28.51009,142.9267,64.33125,5.1077,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
325,81,Adams,IA,1.430679648,3,26,25,70,SOUTHWEST,3,ADAMS,10263.6,45287.6,106.2,7015.6,61000,59000,128.1,1900,13.2,59900,60000,39.4,1/1/1999 0:00,52.81526807,59.20592,25.82264,132.5096,56.7881,9.30706,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
326,81,Adams,IA,1.430679648,3,27,26,70,SOUTHWEST,3,ADAMS,6842.4,38610.4,70.8,10523.4,64000,62300,140,1500,18.9,59800,60000,41.7,1/1/2000 0:00,48.63473206,54.51954,22.57547,140.8073,61.43129,-2.281,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
327,81,Adams,IA,1.430679648,3,28,27,70,SOUTHWEST,3,ADAMS,3421.2,31933.2,35.4,14031.2,60000,58500,120.3,1200,16.5,61500,62000,40.7,1/1/2001 0:00,46.89196596,52.5659,20.28014,133.2121,61.77199,1.40593,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
328,81,Adams,IA,1.430679648,3,29,28,70,SOUTHWEST,3,ADAMS,0,25256,0,17539,66000,63500,132.3,1600,17.5,58600,59000,43.5,1/1/2002 0:00,44.57983385,49.974,17.19197,140.8148,64.51768,-9.13115,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
329,81,Adams,IA,1.430679648,3,30,29,70,SOUTHWEST,3,ADAMS,0,30865.6,0,17384.2,62000,59500,122.2,2000,15.5,61800,62000,27.5,1/1/2003 0:00,45.86330385,51.41277,18.3231,104.697,25.09167,-9.86946,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
330,81,Adams,IA,1.430679648,3,31,30,70,SOUTHWEST,3,ADAMS,0,36475.2,0,17229.4,65000,63500,169.3,1400,20.4,61800,62000,50.7,1/1/2004 0:00,52.04287466,58.34006,18.8593,171.1719,85.73477,-8.23777,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
331,81,Adams,IA,1.430679648,3,32,31,70,SOUTHWEST,3,ADAMS,0,42084.8,0,17074.6,66000,64500,157.1,1100,19.5,60700,61000,50.2,1/1/2005 0:00,55.05341105,61.71487,19.82834,164.6946,83.0535,-0.09789,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
332,81,Adams,IA,1.430679648,3,33,32,70,SOUTHWEST,3,ADAMS,0,47694.4,0,16919.8,65500,63800,145.4,1600,14.3,60800,61000,45.2,1/1/2006 0:00,53.02526839,59.44133,20.87958,150.0694,70.34594,0.59745,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
333,81,Adams,IA,1.430679648,3,34,33,70,SOUTHWEST,3,ADAMS,0,53304,0,16765,71000,69200,153.4,1500,17.6,56900,57000,51.5,1/1/2007 0:00,52.42073473,58.76365,21.59636,162.3658,80.13101,-1.87478,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
334,81,Adams,IA,1.430679648,3,35,34,70,SOUTHWEST,3,ADAMS,2006.6,54002,0,16361.6,65500,64000,156,,,63200,63700,39,1/1/2008 0:00,58.23945596,65.28643,23.35544,141.5332,55.39731,2.50598,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
335,81,Adams,IA,1.430679648,3,36,35,70,SOUTHWEST,3,ADAMS,4013.2,54700,0,15958.2,72000,71200,168.1,750,16,62200,62500,51,1/1/2009 0:00,52.97626562,59.38639,24.31757,168.798,82.3606,-2.73344,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
336,81,Adams,IA,1.430679648,3,37,36,70,SOUTHWEST,3,ADAMS,6019.8,55398,0,15554.8,71000,69000,139.3,,,64200,65000,47.7,1/1/2010 0:00,40.26786548,45.14028,25.91105,152.396,76.18287,-5.1618,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
337,81,Adams,IA,1.430679648,3,38,37,70,SOUTHWEST,3,ADAMS,8026.4,56096,0,15151.4,73000,71000,151.7,,,66800,67800,46.9,1/1/2011 0:00,93.1797105,104.4545,26.82594,155.7424,74.67278,50.21082,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
338,81,Adams,IA,1.430679648,3,39,38,70,SOUTHWEST,3,ADAMS,10033,56794,0,14748,73500,71500,109.8,,,67800,68000,40.9,1/1/2012 0:00,93.77425891,105.1209,28.48256,127.4203,58.93301,65.11617,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
339,81,Adams,IA,1.430679648,3,40,39,70,SOUTHWEST,3,ADAMS,10635,55873,0,14933.6,74500,71100,147.6,2500,13.5,69800,70100,44.1,1/1/2013 0:00,98.15820634,110.0353,28.39233,149.1912,67.83799,57.07442,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
340,81,Adams,IA,1.430679648,3,41,40,70,SOUTHWEST,3,ADAMS,11237,54952,0,15119.2,75500,73900,169.9,,,69700,70000,47.6,1/1/2014 0:00,103.118007,115.5953,28.73388,164.1967,76.42621,56.55869,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
341,81,Adams,IA,1.430679648,3,42,41,70,SOUTHWEST,3,ADAMS,11839,54031,0,15304.8,74400,72400,169.6,,,66500,66800,50.3,1/1/2015 0:00,50.49945334,56.60989,30.14184,169.1217,82.05961,-0.31036,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
342,81,Adams,IA,1.430679648,3,43,42,70,SOUTHWEST,3,ADAMS,12441,53110,0,15490.4,74000,70800,187.4,,,69200,69400,56.5,1/1/2016 0:00,53.53735379,60.01537,30.20416,190.3896,100.1686,-0.00147,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
343,81,Adams,IA,1.430679648,3,44,43,70,SOUTHWEST,3,ADAMS,13043,52189,0,15676,71500,67300,179.9,,,71100,71500,52.6,1/1/2017 0:00,54.42294655,61.00812,30.81487,181.0947,92.94534,3.67363,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
344,81,Adams,IA,1.430679648,3,45,44,70,SOUTHWEST,3,ADAMS,13645,51268,0,15861.6,71000,68900,171.6,,,69000,69500,53.2,1/1/2018 0:00,49.46267876,55.44766,31.89875,178.0704,93.55772,2.83373,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
345,81,Adams,IA,1.430679648,3,46,45,70,SOUTHWEST,3,ADAMS,14247,50347,0,16047.2,,,,,,,,,1/1/2019 0:00,49.99461836,56.04397,,,,,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1101989425,134077.3792
783,5,Allamakee,IA,1.847861729,5,47,46,30,NORTHEAST,5,ALLAMAKEE,17155,69073,15244,0,74900,67300,135.3,7400,18.4,19500,21200,45.7,1/1/1997 0:00,32.20078993,36.09708,70.84073,121.8831,32.77831,17.83302,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
784,5,Allamakee,IA,1.847861729,5,48,47,30,NORTHEAST,5,ALLAMAKEE,17446,71188.8,14642.2,7615,74600,68900,154.3,5700,17.8,22600,22800,52.6,1/1/1998 0:00,32.63336079,36.582,76.52943,141.9701,43.51445,14.65578,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
785,5,Allamakee,IA,1.847861729,5,49,48,30,NORTHEAST,5,ALLAMAKEE,17737,73304.6,14040.4,15230,74000,67400,151.4,6300,19.3,26000,26000,47.3,1/1/1999 0:00,35.03426487,39.27341,81.00138,137.588,40.88119,23.56798,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
786,5,Allamakee,IA,1.847861729,5,50,49,30,NORTHEAST,5,ALLAMAKEE,18028,75420.4,13438.6,22845,73000,67200,146.6,5400,16.5,27900,28000,47.3,1/1/2000 0:00,31.5202611,35.33421,86.59714,136.448,43.58999,29.07334,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
787,5,Allamakee,IA,1.847861729,5,51,50,30,NORTHEAST,5,ALLAMAKEE,18319,77536.2,12836.8,30460,67000,60900,150.3,5700,19.1,31700,32000,41,1/1/2001 0:00,34.22595761,38.3673,94.87357,133.6189,39.8136,39.43557,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
788,5,Allamakee,IA,1.847861729,5,52,51,30,NORTHEAST,5,ALLAMAKEE,18610,79652,12235,38075,71000,63000,158.7,7400,18.9,26800,27000,51,1/1/2002 0:00,27.67829518,31.02737,102.4353,147.969,48.83143,34.3251,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
789,5,Allamakee,IA,1.847861729,5,53,52,30,NORTHEAST,5,ALLAMAKEE,17898.2,81125,12165.6,36121.4,71000,62000,142.7,8500,19.2,28800,29000,31.7,1/1/2003 0:00,28.59086699,32.05036,97.94595,115.4408,21.13849,35.694,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
790,5,Allamakee,IA,1.847861729,5,54,53,30,NORTHEAST,5,ALLAMAKEE,17186.4,82598,12096.2,34167.8,70000,63000,163.3,6000,19.7,29900,30000,42.6,1/1/2004 0:00,34.25394236,38.39867,95.50536,141.0303,39.5472,32.42093,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
791,5,Allamakee,IA,1.847861729,5,55,54,30,NORTHEAST,5,ALLAMAKEE,16474.6,84071,12026.8,32214.2,72000,65000,177.4,6300,20.4,27800,28000,56.8,1/1/2005 0:00,33.03828673,37.03592,93.06477,165.263,58.40763,23.24532,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
792,5,Allamakee,IA,1.847861729,5,56,55,30,NORTHEAST,5,ALLAMAKEE,15762.8,85544,11957.4,30260.6,69000,62100,166.2,4700,20.6,30700,31000,48.9,1/1/2006 0:00,30.00285189,33.6332,90.62418,151.9975,51.42466,23.68454,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
793,5,Allamakee,IA,1.847861729,5,57,56,30,NORTHEAST,5,ALLAMAKEE,15051,87017,11888,28307,78000,71200,167.1,6500,19.7,23900,24000,48.4,1/1/2007 0:00,23.13836467,25.93811,86.45449,145.0089,38.39592,5.77962,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
794,5,Allamakee,IA,1.847861729,5,58,57,30,NORTHEAST,5,ALLAMAKEE,15102.4,91050.4,11933.4,30388.6,77000,67500,170,6900,21.5,32800,33000,42,1/1/2008 0:00,30.69165276,34.40534,82.85403,143.8477,38.574,11.98567,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
795,5,Allamakee,IA,1.847861729,5,59,58,30,NORTHEAST,5,ALLAMAKEE,15153.8,95083.8,11978.8,32470.2,83000,73500,179.6,,,30400,30500,45.5,1/1/2009 0:00,24.39253966,27.34404,82.90334,151.396,39.63746,-1.51116,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
796,5,Allamakee,IA,1.847861729,5,60,59,30,NORTHEAST,5,ALLAMAKEE,15205.2,99117.2,12024.2,34551.8,86000,79500,175.8,,,32400,32500,52.2,1/1/2010 0:00,24.74193026,27.7357,81.89971,157.5549,50.38953,2.47004,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
797,5,Allamakee,IA,1.847861729,5,61,60,30,NORTHEAST,5,ALLAMAKEE,15256.6,103150.6,12069.6,36633.4,92500,86900,173.3,,,29700,29900,52.1,1/1/2011 0:00,41.64937308,46.68895,81.70508,152.7752,44.7492,20.36803,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
798,5,Allamakee,IA,1.847861729,5,62,61,30,NORTHEAST,5,ALLAMAKEE,15308,107184,12115,38715,96500,83300,153.6,,,30400,30500,52.2,1/1/2012 0:00,30.73229648,34.4509,81.07313,143.4144,44.12365,16.23328,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
799,5,Allamakee,IA,1.847861729,5,63,62,30,NORTHEAST,5,ALLAMAKEE,16108.6,102434.4,12356.2,38072.2,88500,78100,162.1,,,31500,31700,50.7,1/1/2013 0:00,30.13843542,33.78519,85.49998,148.2673,46.31523,17.3331,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
800,5,Allamakee,IA,1.847861729,5,64,63,30,NORTHEAST,5,ALLAMAKEE,16909.2,97684.8,12597.4,37429.4,94500,80400,175.6,13600,25,30400,30600,50.6,1/1/2014 0:00,31.22301019,35.001,81.99767,154.1243,42.82467,5.69904,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
801,5,Allamakee,IA,1.847861729,5,65,64,30,NORTHEAST,5,ALLAMAKEE,17709.8,92935.2,12838.6,36786.6,90000,82400,175.4,,,34400,34600,54.1,1/1/2015 0:00,33.44408657,37.49082,82.1727,160.2245,53.87177,13.31079,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
802,5,Allamakee,IA,1.847861729,5,66,65,30,NORTHEAST,5,ALLAMAKEE,18510.4,88185.6,13079.8,36143.8,92000,76700,205.1,12800,25.5,31800,32200,56.8,1/1/2016 0:00,34.90810405,39.13198,82.28284,179.0326,54.08113,-3.53665,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
803,5,Allamakee,IA,1.847861729,5,67,66,30,NORTHEAST,5,ALLAMAKEE,19311,83436,13321,35501,91500,76100,190.5,,,34500,34700,52.6,1/1/2017 0:00,35.35195911,39.62955,80.82677,167.6983,51.11257,3.87059,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1707629966,172923.1913
