Name,Longitude,Latitude,Elevation (ft),Date,Year,Month,ppt (inches),tmean (degrees F)
"Adair, Iowa",-94.4709,41.3307,1319,2000-07,2000,7,4.36,73.6
"Adair, Iowa",-94.4709,41.3307,1319,2000-08,2000,8,0.85,75.8
"Adair, Iowa",-94.4709,41.3307,1319,2000-09,2000,9,1.32,68.6
"Adair, Iowa",-94.4709,41.3307,1319,2000-10,2000,10,1.11,57.5
"Adair, Iowa",-94.4709,41.3307,1319,2000-11,2000,11,2.12,33.8
"Adair, Iowa",-94.4709,41.3307,1319,2000-12,2000,12,1.43,11.4
"Adair, Iowa",-94.4709,41.3307,1319,2001-01,2001,1,1.87,23.5
"Adair, Iowa",-94.4709,41.3307,1319,2001-02,2001,2,2.5,20.2
"Adair, Iowa",-94.4709,41.3307,1319,2001-03,2001,3,1.85,31.5
"Adair, Iowa",-94.4709,41.3307,1319,2001-04,2001,4,4.09,55.1
"Adair, Iowa",-94.4709,41.3307,1319,2001-05,2001,5,6.53,62.5
"Adair, Iowa",-94.4709,41.3307,1319,2001-06,2001,6,3.38,69.1
"Adair, Iowa",-94.4709,41.3307,1319,2001-07,2001,7,2.49,77
"Adair, Iowa",-94.4709,41.3307,1319,2001-08,2001,8,0.91,75.2
"Adair, Iowa",-94.4709,41.3307,1319,2001-09,2001,9,5.31,63.9
"Adair, Iowa",-94.4709,41.3307,1319,2001-10,2001,10,3.34,52.8
"Adair, Iowa",-94.4709,41.3307,1319,2001-11,2001,11,0.9,49.5
"Adair, Iowa",-94.4709,41.3307,1319,2001-12,2001,12,0.42,32.5
"Adair, Iowa",-94.4709,41.3307,1319,2002-01,2002,1,0.43,30.7
"Adair, Iowa",-94.4709,41.3307,1319,2002-02,2002,2,0.94,31.7
"Adair, Iowa",-94.4709,41.3307,1319,2002-03,2002,3,0.9,34.3
"Adair, Iowa",-94.4709,41.3307,1319,2002-04,2002,4,3.12,50.8
"Adair, Iowa",-94.4709,41.3307,1319,2002-05,2002,5,4.15,59
"Adair, Iowa",-94.4709,41.3307,1319,2002-06,2002,6,2.06,74
"Adair, Iowa",-94.4709,41.3307,1319,2002-07,2002,7,3.79,77.9
"Adair, Iowa",-94.4709,41.3307,1319,2002-08,2002,8,4.46,73.2
"Adair, Iowa",-94.4709,41.3307,1319,2002-09,2002,9,1.77,67.3
"Adair, Iowa",-94.4709,41.3307,1319,2002-10,2002,10,3.5,49
"Adair, Iowa",-94.4709,41.3307,1319,2002-11,2002,11,0.25,36.6
"Adair, Iowa",-94.4709,41.3307,1319,2002-12,2002,12,0,30.9
"Adair, Iowa",-94.4709,41.3307,1319,2003-01,2003,1,0.46,21.6
"Adair, Iowa",-94.4709,41.3307,1319,2003-02,2003,2,1.32,23.2
"Adair, Iowa",-94.4709,41.3307,1319,2003-03,2003,3,0.98,37.4
"Adair, Iowa",-94.4709,41.3307,1319,2003-04,2003,4,5.27,52.2
"Adair, Iowa",-94.4709,41.3307,1319,2003-05,2003,5,5.8,59.3
"Adair, Iowa",-94.4709,41.3307,1319,2003-06,2003,6,3.82,68.3
"Adair, Iowa",-94.4709,41.3307,1319,2003-07,2003,7,2.75,75.5
"Adair, Iowa",-94.4709,41.3307,1319,2003-08,2003,8,1.15,76.7
"Adair, Iowa",-94.4709,41.3307,1319,2003-09,2003,9,3.27,63.4
"Adair, Iowa",-94.4709,41.3307,1319,2003-10,2003,10,1.08,55.3
"Adair, Iowa",-94.4709,41.3307,1319,2003-11,2003,11,5.09,37
"Adair, Iowa",-94.4709,41.3307,1319,2003-12,2003,12,1.28,30.9
"Adair, Iowa",-94.4709,41.3307,1319,2004-01,2004,1,1.3,19.7
"Adair, Iowa",-94.4709,41.3307,1319,2004-02,2004,2,1.34,24.1
"Adair, Iowa",-94.4709,41.3307,1319,2004-03,2004,3,4.24,42.4
"Adair, Iowa",-94.4709,41.3307,1319,2004-04,2004,4,1.45,53.2
"Adair, Iowa",-94.4709,41.3307,1319,2004-05,2004,5,8.32,63.6
"Adair, Iowa",-94.4709,41.3307,1319,2004-06,2004,6,3.17,67.7
"Adair, Iowa",-94.4709,41.3307,1319,2004-07,2004,7,5.38,71.6
"Adair, Iowa",-94.4709,41.3307,1319,2004-08,2004,8,5.01,68.1
"Adair, Iowa",-94.4709,41.3307,1319,2004-09,2004,9,1.7,68.2
"Adair, Iowa",-94.4709,41.3307,1319,2004-10,2004,10,1.27,55
"Adair, Iowa",-94.4709,41.3307,1319,2004-11,2004,11,2.85,42.6
"Adair, Iowa",-94.4709,41.3307,1319,2004-12,2004,12,0.56,28.9
"Adair, Iowa",-94.4709,41.3307,1319,2005-01,2005,1,0.98,20.8
"Adair, Iowa",-94.4709,41.3307,1319,2005-02,2005,2,1.45,33.5
"Adair, Iowa",-94.4709,41.3307,1319,2005-03,2005,3,1.1,38.6
"Adair, Iowa",-94.4709,41.3307,1319,2005-04,2005,4,2.8,54.4
"Adair, Iowa",-94.4709,41.3307,1319,2005-05,2005,5,4.56,59.7
"Adair, Iowa",-94.4709,41.3307,1319,2005-06,2005,6,3.83,72.9
"Adair, Iowa",-94.4709,41.3307,1319,2005-07,2005,7,3.87,76.1
"Adair, Iowa",-94.4709,41.3307,1319,2005-08,2005,8,2.12,73.4
"Adair, Iowa",-94.4709,41.3307,1319,2005-09,2005,9,1.05,69.6
"Adair, Iowa",-94.4709,41.3307,1319,2005-10,2005,10,0.84,53.3
"Adair, Iowa",-94.4709,41.3307,1319,2005-11,2005,11,1.64,42.5
"Adair, Iowa",-94.4709,41.3307,1319,2005-12,2005,12,1.76,22.1
"Adair, Iowa",-94.4709,41.3307,1319,2006-01,2006,1,0.52,35.1
"Adair, Iowa",-94.4709,41.3307,1319,2006-02,2006,2,0.14,29.7
"Adair, Iowa",-94.4709,41.3307,1319,2006-03,2006,3,4,38.3
"Adair, Iowa",-94.4709,41.3307,1319,2006-04,2006,4,4.56,55.5
"Adair, Iowa",-94.4709,41.3307,1319,2006-05,2006,5,3.29,62.3
"Adair, Iowa",-94.4709,41.3307,1319,2006-06,2006,6,1.15,72.2
"Adair, Iowa",-94.4709,41.3307,1319,2006-07,2006,7,3.66,77.5
"Adair, Iowa",-94.4709,41.3307,1319,2006-08,2006,8,7.15,73.6
"Adair, Iowa",-94.4709,41.3307,1319,2006-09,2006,9,3.56,61.8
"Adair, Iowa",-94.4709,41.3307,1319,2006-10,2006,10,1.67,49.7
"Adair, Iowa",-94.4709,41.3307,1319,2006-11,2006,11,1.84,41.4
"Adair, Iowa",-94.4709,41.3307,1319,2006-12,2006,12,3.06,33.7
"Adair, Iowa",-94.4709,41.3307,1319,2007-01,2007,1,1.25,23.6
"Adair, Iowa",-94.4709,41.3307,1319,2007-02,2007,2,1.33,18.5
"Adair, Iowa",-94.4709,41.3307,1319,2007-03,2007,3,2.75,44.8
"Adair, Iowa",-94.4709,41.3307,1319,2007-04,2007,4,4.82,47
"Adair, Iowa",-94.4709,41.3307,1319,2007-05,2007,5,7.71,66
"Adair, Iowa",-94.4709,41.3307,1319,2007-06,2007,6,2.08,71.7
"Adair, Iowa",-94.4709,41.3307,1319,2007-07,2007,7,2.24,75.3
"Adair, Iowa",-94.4709,41.3307,1319,2007-08,2007,8,11.45,76.5
"Adair, Iowa",-94.4709,41.3307,1319,2007-09,2007,9,4.42,66.4
"Adair, Iowa",-94.4709,41.3307,1319,2007-10,2007,10,5.98,57.8
"Adair, Iowa",-94.4709,41.3307,1319,2007-11,2007,11,0.23,39.2
"Adair, Iowa",-94.4709,41.3307,1319,2007-12,2007,12,2.88,22.3
"Adair, Iowa",-94.4709,41.3307,1319,2008-01,2008,1,0.45,19
"Adair, Iowa",-94.4709,41.3307,1319,2008-02,2008,2,1.29,19.7
"Adair, Iowa",-94.4709,41.3307,1319,2008-03,2008,3,1.43,35.3
"Adair, Iowa",-94.4709,41.3307,1319,2008-04,2008,4,4.78,46.6
"Adair, Iowa",-94.4709,41.3307,1319,2008-05,2008,5,5.19,59.8
"Adair, Iowa",-94.4709,41.3307,1319,2008-06,2008,6,12.52,70.8
"Adair, Iowa",-94.4709,41.3307,1319,2008-07,2008,7,5.95,74.6
"Adair, Iowa",-94.4709,41.3307,1319,2008-08,2008,8,0.74,71.6
"Adair, Iowa",-94.4709,41.3307,1319,2008-09,2008,9,4.54,64.8
"Adair, Iowa",-94.4709,41.3307,1319,2008-10,2008,10,4.01,53.2
"Adair, Iowa",-94.4709,41.3307,1319,2008-11,2008,11,1.35,39.4
"Adair, Iowa",-94.4709,41.3307,1319,2008-12,2008,12,1.77,20.6
"Adair, Iowa",-94.4709,41.3307,1319,2009-01,2009,1,0.71,17.3
"Adair, Iowa",-94.4709,41.3307,1319,2009-02,2009,2,0.53,30.4
"Adair, Iowa",-94.4709,41.3307,1319,2009-03,2009,3,4.01,39.2
"Adair, Iowa",-94.4709,41.3307,1319,2009-04,2009,4,4.82,49
"Adair, Iowa",-94.4709,41.3307,1319,2009-05,2009,5,2.09,60.3
"Adair, Iowa",-94.4709,41.3307,1319,2009-06,2009,6,4.8,70
"Adair, Iowa",-94.4709,41.3307,1319,2009-07,2009,7,3.85,69
"Adair, Iowa",-94.4709,41.3307,1319,2009-08,2009,8,5.08,69.8
"Adair, Iowa",-94.4709,41.3307,1319,2009-09,2009,9,1.57,63.2
"Adair, Iowa",-94.4709,41.3307,1319,2009-10,2009,10,6.62,45.1
"Adair, Iowa",-94.4709,41.3307,1319,2009-11,2009,11,1.29,44.6
"Adair, Iowa",-94.4709,41.3307,1319,2009-12,2009,12,2.8,19.6
"Adair, Iowa",-94.4709,41.3307,1319,2010-01,2010,1,1.28,13.9
"Adair, Iowa",-94.4709,41.3307,1319,2010-02,2010,2,1.1,17.4
"Adair, Iowa",-94.4709,41.3307,1319,2010-03,2010,3,2.01,37.3
"Adair, Iowa",-94.4709,41.3307,1319,2010-04,2010,4,3.17,55.8
"Adair, Iowa",-94.4709,41.3307,1319,2010-05,2010,5,5.73,59.6
"Adair, Iowa",-94.4709,41.3307,1319,2010-06,2010,6,11.33,72
"Adair, Iowa",-94.4709,41.3307,1319,2010-07,2010,7,6.03,75.4
"Adair, Iowa",-94.4709,41.3307,1319,2010-08,2010,8,4.21,75.1
"Adair, Iowa",-94.4709,41.3307,1319,2010-09,2010,9,5.94,63.9
"Adair, Iowa",-94.4709,41.3307,1319,2010-10,2010,10,0.98,55.4
"Adair, Iowa",-94.4709,41.3307,1319,2010-11,2010,11,2.17,39
"Adair, Iowa",-94.4709,41.3307,1319,2010-12,2010,12,0.6,20.8
"Adair, Iowa",-94.4709,41.3307,1319,2011-01,2011,1,1.02,15.6
"Adair, Iowa",-94.4709,41.3307,1319,2011-02,2011,2,0.92,23
"Adair, Iowa",-94.4709,41.3307,1319,2011-03,2011,3,1.71,36.4
"Adair, Iowa",-94.4709,41.3307,1319,2011-04,2011,4,4.68,48.4
"Adair, Iowa",-94.4709,41.3307,1319,2011-05,2011,5,4.37,59.5
"Adair, Iowa",-94.4709,41.3307,1319,2011-06,2011,6,6.25,70.5
"Adair, Iowa",-94.4709,41.3307,1319,2011-07,2011,7,1.9,79.2
"Adair, Iowa",-94.4709,41.3307,1319,2011-08,2011,8,4.49,73.2
"Adair, Iowa",-94.4709,41.3307,1319,2011-09,2011,9,1.64,60.4
"Adair, Iowa",-94.4709,41.3307,1319,2011-10,2011,10,0.23,54.3
"Adair, Iowa",-94.4709,41.3307,1319,2011-11,2011,11,1.53,40.1
"Adair, Iowa",-94.4709,41.3307,1319,2011-12,2011,12,2.27,29.4
"Adair, Iowa",-94.4709,41.3307,1319,2012-01,2012,1,0.37,27.8
"Adair, Iowa",-94.4709,41.3307,1319,2012-02,2012,2,2.82,28.6
"Adair, Iowa",-94.4709,41.3307,1319,2012-03,2012,3,3,53
"Adair, Iowa",-94.4709,41.3307,1319,2012-04,2012,4,5.27,53.7
"Adair, Iowa",-94.4709,41.3307,1319,2012-05,2012,5,2.63,65.9
"Adair, Iowa",-94.4709,41.3307,1319,2012-06,2012,6,3.32,72.5
"Adair, Iowa",-94.4709,41.3307,1319,2012-07,2012,7,0.43,81.1
"Adair, Iowa",-94.4709,41.3307,1319,2012-08,2012,8,2.79,72.9
"Adair, Iowa",-94.4709,41.3307,1319,2012-09,2012,9,1.06,63.7
"Adair, Iowa",-94.4709,41.3307,1319,2012-10,2012,10,4.67,49.9
"Adair, Iowa",-94.4709,41.3307,1319,2012-11,2012,11,0.87,40.8
"Adair, Iowa",-94.4709,41.3307,1319,2012-12,2012,12,1.8,28.3
"Adair, Iowa",-94.4709,41.3307,1319,2013-01,2013,1,0.68,24.7
"Adair, Iowa",-94.4709,41.3307,1319,2013-02,2013,2,1.69,25.1
"Adair, Iowa",-94.4709,41.3307,1319,2013-03,2013,3,1.27,30.3
"Adair, Iowa",-94.4709,41.3307,1319,2013-04,2013,4,5.15,44.3
"Adair, Iowa",-94.4709,41.3307,1319,2013-05,2013,5,8.34,59.2
"Adair, Iowa",-94.4709,41.3307,1319,2013-06,2013,6,4.3,69.4
"Adair, Iowa",-94.4709,41.3307,1319,2013-07,2013,7,0.4,73
"Adair, Iowa",-94.4709,41.3307,1319,2013-08,2013,8,0.76,73.7
"Adair, Iowa",-94.4709,41.3307,1319,2013-09,2013,9,4.36,68.3
"Adair, Iowa",-94.4709,41.3307,1319,2013-10,2013,10,4.58,50.5
"Adair, Iowa",-94.4709,41.3307,1319,2013-11,2013,11,1.08,34.6
"Adair, Iowa",-94.4709,41.3307,1319,2013-12,2013,12,0.41,18.9
"Adair, Iowa",-94.4709,41.3307,1319,2014-01,2014,1,0.22,17.2
"Adair, Iowa",-94.4709,41.3307,1319,2014-02,2014,2,2.1,15.3
"Adair, Iowa",-94.4709,41.3307,1319,2014-03,2014,3,0.54,31.6
"Adair, Iowa",-94.4709,41.3307,1319,2014-04,2014,4,4.54,49.1
"Adair, Iowa",-94.4709,41.3307,1319,2014-05,2014,5,4.61,61.1
"Adair, Iowa",-94.4709,41.3307,1319,2014-06,2014,6,11.22,71
"Adair, Iowa",-94.4709,41.3307,1319,2014-07,2014,7,2.56,70.1
"Adair, Iowa",-94.4709,41.3307,1319,2014-08,2014,8,15.17,71.9
"Adair, Iowa",-94.4709,41.3307,1319,2014-09,2014,9,6.84,63.9
"Adair, Iowa",-94.4709,41.3307,1319,2014-10,2014,10,3.89,52.9
"Adair, Iowa",-94.4709,41.3307,1319,2014-11,2014,11,0.51,30.5
"Adair, Iowa",-94.4709,41.3307,1319,2014-12,2014,12,1.12,29.1
"Adair, Iowa",-94.4709,41.3307,1319,2015-01,2015,1,0.32,23.8
"Adair, Iowa",-94.4709,41.3307,1319,2015-02,2015,2,1.4,16.4
"Adair, Iowa",-94.4709,41.3307,1319,2015-03,2015,3,0.73,39.4
"Adair, Iowa",-94.4709,41.3307,1319,2015-04,2015,4,3.37,51.9
"Adair, Iowa",-94.4709,41.3307,1319,2015-05,2015,5,7.78,60
"Adair, Iowa",-94.4709,41.3307,1319,2015-06,2015,6,5.8,70.5
"Adair, Iowa",-94.4709,41.3307,1319,2015-07,2015,7,6.21,73.3
"Adair, Iowa",-94.4709,41.3307,1319,2015-08,2015,8,5.97,70
"Adair, Iowa",-94.4709,41.3307,1319,2015-09,2015,9,5.62,68.8
"Adair, Iowa",-94.4709,41.3307,1319,2015-10,2015,10,1.26,54.1
"Adair, Iowa",-94.4709,41.3307,1319,2015-11,2015,11,4.77,43.6
"Adair, Iowa",-94.4709,41.3307,1319,2015-12,2015,12,6.32,33.3
"Adair, Iowa",-94.4709,41.3307,1319,2016-01,2016,1,0.66,21.4
"Adair, Iowa",-94.4709,41.3307,1319,2016-02,2016,2,1.58,29.6
"Adair, Iowa",-94.4709,41.3307,1319,2016-03,2016,3,1.3,44.1
"Adair, Iowa",-94.4709,41.3307,1319,2016-04,2016,4,4.24,50.2
"Adair, Iowa",-94.4709,41.3307,1319,2016-05,2016,5,5.3,59.6
"Adair, Iowa",-94.4709,41.3307,1319,2016-06,2016,6,1.02,74.6
"Adair, Iowa",-94.4709,41.3307,1319,2016-07,2016,7,5.4,73.4
"Adair, Iowa",-94.4709,41.3307,1319,2016-08,2016,8,8.14,72.8
"Adair, Iowa",-94.4709,41.3307,1319,2016-09,2016,9,6.4,68
"Adair, Iowa",-94.4709,41.3307,1319,2016-10,2016,10,1.11,56.7
"Adair, Iowa",-94.4709,41.3307,1319,2016-11,2016,11,1.21,46
"Adair, Iowa",-94.4709,41.3307,1319,2016-12,2016,12,1.35,23.6
"Adair, Iowa",-94.4709,41.3307,1319,2017-01,2017,1,1.57,24.6
"Adair, Iowa",-94.4709,41.3307,1319,2017-02,2017,2,1.02,35.6
"Adair, Iowa",-94.4709,41.3307,1319,2017-03,2017,3,3.12,39.3
"Adair, Iowa",-94.4709,41.3307,1319,2017-04,2017,4,3.37,51.7
"Adair, Iowa",-94.4709,41.3307,1319,2017-05,2017,5,5.93,59.7
"Adair, Iowa",-94.4709,41.3307,1319,2017-06,2017,6,3.89,71.7
"Adair, Iowa",-94.4709,41.3307,1319,2017-07,2017,7,0.85,76.6
"Adair, Iowa",-94.4709,41.3307,1319,2017-08,2017,8,4.78,69.1
"Adair, Iowa",-94.4709,41.3307,1319,2017-09,2017,9,4,68.2
"Adair, Iowa",-94.4709,41.3307,1319,2017-10,2017,10,6.39,54
"Adair, Iowa",-94.4709,41.3307,1319,2017-11,2017,11,0.36,37.6
"Adair, Iowa",-94.4709,41.3307,1319,2017-12,2017,12,0.44,26
"Adair, Iowa",-94.4709,41.3307,1319,2018-01,2018,1,1.26,18.2
"Adair, Iowa",-94.4709,41.3307,1319,2018-02,2018,2,1.07,21.5
"Adair, Iowa",-94.4709,41.3307,1319,2018-03,2018,3,1.89,36.5
"Adair, Iowa",-94.4709,41.3307,1319,2018-04,2018,4,0.66,40.9
"Adair, Iowa",-94.4709,41.3307,1319,2018-05,2018,5,3.88,67.9
"Adair, Iowa",-94.4709,41.3307,1319,2018-06,2018,6,7.52,73.4
"Adair, Iowa",-94.4709,41.3307,1319,2018-07,2018,7,2.15,73.9
"Adair, Iowa",-94.4709,41.3307,1319,2018-08,2018,8,5.04,73
"Adair, Iowa",-94.4709,41.3307,1319,2018-09,2018,9,9.28,66.4
"Adair, Iowa",-94.4709,41.3307,1319,2018-10,2018,10,4.71,48.5
"Adair, Iowa",-94.4709,41.3307,1319,2018-11,2018,11,1.4,30
"Adair, Iowa",-94.4709,41.3307,1319,2018-12,2018,12,2.61,28.7
"Adair, Iowa",-94.4709,41.3307,1319,2019-01,2019,1,1.11,19.7
"Adair, Iowa",-94.4709,41.3307,1319,2019-02,2019,2,2.04,15.7
"Adair, Iowa",-94.4709,41.3307,1319,2019-03,2019,3,2.5,30.9
"Adair, Iowa",-94.4709,41.3307,1319,2019-04,2019,4,0.95,50.6
"Adair, Iowa",-94.4709,41.3307,1319,2019-05,2019,5,9.34,56.9
"Adair, Iowa",-94.4709,41.3307,1319,2019-06,2019,6,3.78,69.4
"Adair, Iowa",-94.4709,41.3307,1319,2019-07,2019,7,1.21,75.2
"Adair, Iowa",-94.4709,41.3307,1319,2019-08,2019,8,6.8,70.2
"Adair, Iowa",-94.4709,41.3307,1319,2019-09,2019,9,6.58,69.5
"Adair, Iowa",-94.4709,41.3307,1319,2019-10,2019,10,6.07,48
"Adair, Iowa",-94.4709,41.3307,1319,2019-11,2019,11,0.9,34.2
"Adair, Iowa",-94.4709,41.3307,1319,2019-12,2019,12,0.75,31
"Adams, Iowa",-94.6992,41.029,1247,1997-01,1997,1,0.58,16.5
"Adams, Iowa",-94.6992,41.029,1247,1997-02,1997,2,1.47,27.5
"Adams, Iowa",-94.6992,41.029,1247,1997-03,1997,3,0.73,39.5
"Adams, Iowa",-94.6992,41.029,1247,1997-04,1997,4,3.29,44.3
"Adams, Iowa",-94.6992,41.029,1247,1997-05,1997,5,4.33,54.8
"Adams, Iowa",-94.6992,41.029,1247,1997-06,1997,6,2.59,71.4
"Adams, Iowa",-94.6992,41.029,1247,1997-07,1997,7,1.47,75.4
"Adams, Iowa",-94.6992,41.029,1247,1997-08,1997,8,2.04,71.8
"Adams, Iowa",-94.6992,41.029,1247,1997-09,1997,9,2.21,65.9
"Adams, Iowa",-94.6992,41.029,1247,1997-10,1997,10,4.23,53
"Adams, Iowa",-94.6992,41.029,1247,1997-11,1997,11,1.72,35.4
"Adams, Iowa",-94.6992,41.029,1247,1997-12,1997,12,1.48,27.6
"Adams, Iowa",-94.6992,41.029,1247,1998-01,1998,1,0.92,25.6
"Adams, Iowa",-94.6992,41.029,1247,1998-02,1998,2,2.06,36.1
"Adams, Iowa",-94.6992,41.029,1247,1998-03,1998,3,3.72,30.7
"Adams, Iowa",-94.6992,41.029,1247,1998-04,1998,4,2.51,49.3
"Adams, Iowa",-94.6992,41.029,1247,1998-05,1998,5,3.54,65.4
"Adams, Iowa",-94.6992,41.029,1247,1998-06,1998,6,7.29,67.6
"Adams, Iowa",-94.6992,41.029,1247,1998-07,1998,7,3.39,75.2
"Adams, Iowa",-94.6992,41.029,1247,1998-08,1998,8,3.06,74.3
"Adams, Iowa",-94.6992,41.029,1247,1998-09,1998,9,0.98,70.3
"Adams, Iowa",-94.6992,41.029,1247,1998-10,1998,10,2.8,55.1
"Adams, Iowa",-94.6992,41.029,1247,1998-11,1998,11,2.49,42.6
"Adams, Iowa",-94.6992,41.029,1247,1998-12,1998,12,0.34,30.6
"Adams, Iowa",-94.6992,41.029,1247,1999-01,1999,1,0.64,20.4
"Adams, Iowa",-94.6992,41.029,1247,1999-02,1999,2,1.44,33.7
"Adams, Iowa",-94.6992,41.029,1247,1999-03,1999,3,0.9,37.2
"Adams, Iowa",-94.6992,41.029,1247,1999-04,1999,4,6.3,50
"Adams, Iowa",-94.6992,41.029,1247,1999-05,1999,5,5.51,59.7
"Adams, Iowa",-94.6992,41.029,1247,1999-06,1999,6,3.27,69.1
"Adams, Iowa",-94.6992,41.029,1247,1999-07,1999,7,1.84,77.2
"Adams, Iowa",-94.6992,41.029,1247,1999-08,1999,8,4.3,71
"Adams, Iowa",-94.6992,41.029,1247,1999-09,1999,9,3.85,61.8
"Adams, Iowa",-94.6992,41.029,1247,1999-10,1999,10,0.24,51.4
"Adams, Iowa",-94.6992,41.029,1247,1999-11,1999,11,1.42,46.1
"Adams, Iowa",-94.6992,41.029,1247,1999-12,1999,12,0.47,28.9
"Adams, Iowa",-94.6992,41.029,1247,2000-01,2000,1,0.19,26.4
"Adams, Iowa",-94.6992,41.029,1247,2000-02,2000,2,1.92,34
"Adams, Iowa",-94.6992,41.029,1247,2000-03,2000,3,1.26,43.3
"Adams, Iowa",-94.6992,41.029,1247,2000-04,2000,4,1.42,49.4
"Adams, Iowa",-94.6992,41.029,1247,2000-05,2000,5,1.79,63.8
"Adams, Iowa",-94.6992,41.029,1247,2000-06,2000,6,6.66,68.5
"Adams, Iowa",-94.6992,41.029,1247,2000-07,2000,7,4.1,73
"Adams, Iowa",-94.6992,41.029,1247,2000-08,2000,8,2.15,75.4
"Adams, Iowa",-94.6992,41.029,1247,2000-09,2000,9,1.56,66.6
"Adams, Iowa",-94.6992,41.029,1247,2000-10,2000,10,1.63,56.6
"Adams, Iowa",-94.6992,41.029,1247,2000-11,2000,11,2.02,31.9
"Adams, Iowa",-94.6992,41.029,1247,2000-12,2000,12,1.18,11.1
"Adams, Iowa",-94.6992,41.029,1247,2001-01,2001,1,2,21.3
"Adams, Iowa",-94.6992,41.029,1247,2001-02,2001,2,2.54,19.8
"Adams, Iowa",-94.6992,41.029,1247,2001-03,2001,3,1.29,30.1
"Adams, Iowa",-94.6992,41.029,1247,2001-04,2001,4,2.64,52.5
"Adams, Iowa",-94.6992,41.029,1247,2001-05,2001,5,8.11,60.1
"Adams, Iowa",-94.6992,41.029,1247,2001-06,2001,6,4.95,68
"Adams, Iowa",-94.6992,41.029,1247,2001-07,2001,7,2.8,76.4
"Adams, Iowa",-94.6992,41.029,1247,2001-08,2001,8,0.75,74.3
"Adams, Iowa",-94.6992,41.029,1247,2001-09,2001,9,4.93,62.5
"Adams, Iowa",-94.6992,41.029,1247,2001-10,2001,10,2.72,51.7
